"Comp-FL03-A :: FITC-A","Comp-FL15-A :: mCherry-A"
15130.8,100161
61598.6,97799.2
39750.6,23376.6
88547.7,54736.4
45218.7,60037.4
102907,109802
41352.5,64562.4
24867.1,119179
13194.9,59891.8
17061.2,105695
101238,53762.4
46203.2,54007.6
30080.6,50121.9
24535.9,17218.8
106359,104014
16804.6,51798.1
55586.9,36924.7
15066.8,36885.3
177210,184388
63385.8,189347
14709.4,28261.3
100789,175413
108931,172059
33781.3,71904.5
76077.9,65872.9
20240.6,26326.3
15207.3,17140.2
68572.6,73471.6
17171.3,28420.1
31314.8,91328.8
101707,165643
54831.9,75687.7
137155,156028
111818,173055
17899.5,16889.4
59563.9,37297.3
108720,142638
11473.1,102198
62002.7,98576.4
25580.8,98998.7
27258.3,49930.9
121674,130895
42173.7,65776
75096.2,122164
50925.4,90802.4
46965.8,93046.6
24436.6,47930.3
25982.3,38634.6
67132.9,71635.4
18483.2,30875.2
161534,129656
44983.4,136577
93152.4,177249
121598,121287
20424.5,124015
13422.1,30955.1
62020.9,77427.8
64795.7,50262.7
105559,147134
32820.9,44186.5
41548,104508
106004,112967
115454,80735.3
101413,173445
138492,141817
35542.1,28447.8
40377.4,31887.2
26358.3,89258.1
105998,73766.8
14401.1,56378.5
65791,113996
30042.2,135406
16738.4,44709.1
99862,123063
28281,99402.6
17021,22665.7
30355.2,25308.3
24307.1,48173.5
50125.5,177218
42528.8,31510.3
93508.3,72184.2
30345.7,52528.6
14769.8,87733.7
96788.4,119405
72759.4,136219
24203.8,97437.1
62365.9,47574.3
111256,96244.4
91262.7,122136
118251,128283
42824.7,92390.8
53082,135522
35761.9,27694
27216.1,30089.6
139496,148891
58348.2,34834.7
107407,131788
11314.3,38919
45371.6,72507.5
70792.5,62129
20644.2,106578
47783.7,41492.1
87678.2,117774
12042.5,83592.3
145730,186437
13080.5,26425.8
158017,167883
56459.8,135492
47927,70695.7
29903.9,69072.1
52538.1,30443.5
13491.1,55066.6
95675.5,157889
87174.8,71485.4
59217.8,105835
45160.3,92778.2
45651.3,74350.3
51638.9,49227.9
30248.1,58966
90041.4,78670.6
11807.1,25374.9
23005.7,52139.5
107080,90581.8
12535.3,95621.3
20420.8,48543.2
